Domain,Number of DNS requests,Missed DNS requests missed,Number of Packets,Number of Bytes,Estimated Packets,Estimated Bytes
mx57.h.outbound.createsend.com,30,0,206,18756,206.0,18756.0
sonic304-9.consmr.mail.bf2.yahoo.com,11,0,81,7210,81.0,7210.0
mail-dm6nam11lp2169.outbound.protection.outlook.com,1,0,0,0,0.0,0.0
a59-46.smtp-out.us-west-2.amazonses.com,3,0,0,0,0.0,0.0
pool-173-71-123-128.cmdnnj.fios.verizon.net,2,0,0,0,0.0,0.0
omta015.uswest2.a.cloudfilter.net,9,0,89,7993,89.0,7993.0
burkefairfaxoralsurgery.com,217,0,0,0,0.0,0.0
savesmartrewards.com,2,0,0,0,0.0,0.0
liveintent.newyorktimesinfo.com,6,0,217,18355,217.0,18355.0
nyt.et.e.sparkpost.com,7,0,74,5971,74.0,5971.0
mta2.haymarketmedicalmail.com,18,0,372,33422,372.0,33422.0
www.googleadservices.com,55,0,1587,142824,1587.0,142824.0
s.e.neimanmarcusemail.com,1,0,12,889,12.0,889.0
l.neimanmarcusemail.com,1,0,10,730,10.0,730.0
i.e.neimanmarcusemail.com,1,0,75,6537,75.0,6537.0
78.152.225.111.4vw5piqz5ksoolyszwje5tobsi.sbl-xbl.dq.spamhaus.net,2495,0,0,0,0.0,0.0
ss-prod-ue1-notif-48.aws.adobess.com,62,0,886,71532,886.0,71532.0
gsgglobalworkspace.slack.com,10,0,1170,102307,1170.0,102307.0
122.71.147.82.4vw5piqz5ksoolyszwje5tobsi.zen.dq.spamhaus.net,12,0,0,0,0.0,0.0
sv4.telemetry-investments.com,4,0,21,1636,21.0,1636.0
ca.minus80monitoring.com,42,0,612,51879,612.0,51879.0
mta200220.neimanmarcusemail.com,7,0,0,0,0.0,0.0
mail-sgdm-235-97.aliyun.com,6,0,0,0,0.0,0.0
alt1.aspmx.l.google.com,49,0,1564,120771,1564.0,120771.0
45.62.40.77.4vw5piqz5ksoolyszwje5tobsi.sbl-xbl.dq.spamhaus.net,595,0,0,0,0.0,0.0
164.229.135.45.4vw5piqz5ksoolyszwje5tobsi.zen.dq.spamhaus.net,2,0,0,0,0.0,0.0
a53-161.smtp-out.eu-west-1.amazonses.com,8,0,45,3967,45.0,3967.0
mta01.mx1.dunhillvacations.com,15,0,49,4432,49.0,4432.0
alert.republicantaskforce.com,3,0,0,0,0.0,0.0
